"Country or Area","Year","Area","Sex","Age","Industry","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Male","15 - 19","Agriculture, hunting and forestry (ISIC Rev.3/3.1: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","6244","1"
"Australia","2016","Total","Male","15 - 19","Fishing (ISIC Rev.3/3.1: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","231","1"
"Australia","2016","Total","Male","15 - 19","Mining and quarrying (ISIC Rev.3/3.1: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","762","1"
"Australia","2016","Total","Male","15 - 19","Manufacturing (ISIC Rev.3/3.1: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","14259","1"
"Australia","2016","Total","Male","15 - 19","Electricity, gas and water supply (ISIC Rev.3/3.1: Section E)","Census - de jure - complete tabulation","Final figure, complete","2017","546","1"
"Australia","2016","Total","Male","15 - 19","Construction (ISIC Rev.3/3.1: Section F)","Census - de jure - complete tabulation","Final figure, complete","2017","33496","1"
"Australia","2016","Total","Male","15 - 19","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods (ISIC Rev.3/3.1: Section G)","Census - de jure - complete tabulation","Final figure, complete","2017","66738","1"
"Australia","2016","Total","Male","15 - 19","Hotels and restaurants (ISIC Rev.3/3.1: Section H)","Census - de jure - complete tabulation","Final figure, complete","2017","73149","1"
"Australia","2016","Total","Male","15 - 19","Transport, storage and communications (ISIC Rev.3/3.1: Section I)","Census - de jure - complete tabulation","Final figure, complete","2017","5242","1"
"Australia","2016","Total","Male","15 - 19","Financial intermediation (ISIC Rev.3/3.1:  Section J)","Census - de jure - complete tabulation","Final figure, complete","2017","1057","1"
"Australia","2016","Total","Male","15 - 19","Real estate, renting and business activities (ISIC Rev.3/3.1: Category K)","Census - de jure - complete tabulation","Final figure, complete","2017","8131","1"
"Australia","2016","Total","Male","15 - 19","Public administration and defense; compulsory social security (ISIC-Rev.3/3.1: Section L)","Census - de jure - complete tabulation","Final figure, complete","2017","3888","1"
"Australia","2016","Total","Male","15 - 19","Education (ISIC Rev.3/3.1: Section M)","Census - de jure - complete tabulation","Final figure, complete","2017","6025","1"
"Australia","2016","Total","Male","15 - 19","Health and social work (ISIC Rev.3/3.1: Section N)","Census - de jure - complete tabulation","Final figure, complete","2017","3681","1"
"Australia","2016","Total","Male","15 - 19","Other community, social and personal service activities (ISIC Rev.3/3.1: Section O)","Census - de jure - complete tabulation","Final figure, complete","2017","16668","1"
"Australia","2016","Total","Male","15 - 19","Activities of private households as employers and undifferentiated production activities of private households (ISIC Rev.3/3.1: Category P)","Census - de jure - complete tabulation","Final figure, complete","2017","16","1"
"Australia","2016","Total","Male","15 - 19","Extraterritorial organizations and bodies (ISIC Rev.3/3.1: Section Q)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Male","15 - 19","Not defined/not classifiable","Census - de jure - complete tabulation","Final figure, complete","2017","13981","1"
"Australia","2016","Total","Male","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2017","254118","1"
"Australia","2016","Total","Male","15 - 19","Agriculture, forestry and fishing (ISIC Rev.4: Section A)","Census - de jure - complete tabulation","Final figure, complete","2017","5761","1"
"Australia","2016","Total","Male","15 - 19","Mining and quarrying (ISIC Rev.4: Section B)","Census - de jure - complete tabulation","Final figure, complete","2017","913","1"
"Australia","2016","Total","Male","15 - 19","Manufacturing (ISIC Rev.4: Section C)","Census - de jure - complete tabulation","Final figure, complete","2017","13883","1"
"Australia","2016","Total","Male","15 - 19","Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)","Census - de jure - complete tabulation","Final figure, complete","2017","430","1"
